ID,Label,Name,ADDRESS,CITY,STATE,ZIP,NAICS,CustomerSince,EntityType,Products,EOL
1,SB_WF,Alice Dental Practice,5105 LAKE TERRELL ROAD,FERNDALE,WA,98248,221112,26-12-2005,Sole Proprietor,Deposits Initiate Business Checking;Deposits Initiate Business Checking;Deposits Business Platinum Savings,|
2,SB_WF,Bob Marley & Co.,524 E. CENTER STREET,FERNDALE,WA,98244,221210,08-02-2013,Sole Proprietor,Business Platinum Credit Card;Business Elite Signature Card;Deposits Optimize Business Checking,|
3,SB_WF,Eric Autoworks,620 Facet Road,FERNDALE,WA,98240,327213,13-11-2004,Sole Proprietor,Deposits Initiate Business CheckingDeposits Market Rate Savings,|
4,SB_WF,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,MADERA,CA,93637,327213,17-03-2009,Sole Proprietor,Deposits Business Platinum Savings,|
5,SB_WF,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,BERNALILLO,NM,87004,327420,09-06-2006,Corp C,Business Line Of Credit;Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
6,SB_WF,"St. Lawrence Gas Co., Inc.",33 Stearns Street,Massena,NY,13662,221210,03-12-2008,LLC,Deposits Market Rate Savings;Deposits Initiate Business Checking;Business Elite Signature Card,|
7,SB_WF,PUGET HOLDINGS LLC,PO Box 97034,Bellevue,WA,98009,221112,05-08-2008,Partnership,Deposits Navigate Business Checking;Deposits Optimize Business Checking;Business Elite Signature Card,|
8,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,04-04-2000,Sole Proprietor,Deposits Initiate Business Checking;Deposits Optimize Business Checking;Deposits Business Platinum Savings,|
9,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,17-09-2013,Corp C,Deposits Optimize Business CheckingDeposits Initiate Business Checking,|
10,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,07-01-2001,Corp S,Deposits Business Platinum Savings;Deposits Business Platinum Savings;Deposits Business Platinum Savings,|
11,SB_WF,EAGLE MATERIALS INC,5960 Berkshire Lane Suite 800,Dallas,TX,75225,327420,29-08-2010,Sole Proprietor,Business Platinum Credit Card;Deposits Initiate Business Checking,|
12,SB_WF,ST LAWRENCE GAS CO,33 Stearns Street,Massena,NY,13662,221210,05-02-2005,Corp S,,|
13,SB_WF,SANTA ROSA BOARD OF COUNTY COMMISSIONERS,"6495 Caroline Street, Suite M",Milton,FL,32570,562212,09-04-2001,Trust,Deposits Initiate Business Checking,|
14,SB_WF,CENTRAL HUDSON GAS & ELECTRIC CORP,284 South Avenue,Poughkeepsie,NY,12601,221122,09-05-2003,LLC,Deposits Navigate Business Checking,|
15,SB_WF,TYSON FOODS INC,DON TYSON PKWY,SPRINGDALE,AR,72762,311615,09-07-2000,LLC,Deposits Initiate Business Checking;Deposits Initiate Business Checking;Business Platinum Credit Card,|
16,SB_WF,TYSON FOODS INC,2200 Don Tyson Parkway,Springdale,AR,72762,311613,19-07-2018,Trust,Business Line Of Credit;Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
17,SB_WF,BASF CORP,100 Campus Drive,Florham Park,NJ,7932,325320,08-07-2007,Partnership,Deposits Navigate Business Checking;Deposits Market Rate Savings;Deposits Initiate Business Checking,|
18,SB_WF,THE WESTERN SUGAR COOPERATIVE,7555 E Hampden Ave. Suite 520,Denver,CO,80231,311313,03-03-2002,Sole Proprietor,Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
19,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,27-12-2016,Sole Proprietor,Business Line Of Credit;Deposits Optimize Business Checking;Business Platinum Credit Card,|
20,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,17-04-2005,Sole Proprietor,Deposits Initiate Business CheckingBusiness Elite Signature Card,|
21,SB_WF,ASHLAND GLOBAL HOLDINGS INC,1005 Route 202/206,Bridgewater,NJ,8807,325199,07-08-2008,Sole Proprietor,Deposits Optimize Business Checking;Business Platinum Credit Card;Deposits Initiate Business Checking,|
22,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,07-02-2006,Sole Proprietor,Deposits Initiate Business Checking;Business Platinum Credit Card;Business Platinum Credit Card,|
23,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,09-01-2003,LLP,Deposits Navigate Business Checking;Deposits Initiate Business Checking,|
24,SB_WF,PLACID REFINING CO LLC,1940 LA HWY 1 North,Port Allen,LA,70767,324110,13-10-2018,Corp C,Deposits Market Rate Savings;Deposits Market Rate Savings;Deposits Navigate Business Checking,|
25,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,12-08-2015,Sole Proprietor,Deposits Navigate Business Checking;Deposits Initiate Business Checking;Business Platinum Credit Card,|
26,SB_WF,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,34th St & Civic Center Blvd,Philadelphia,PA,19104,622110,01-02-2017,LLC,Deposits Initiate Business Checking,|
27,SB_WF,ARDAGH GLASS INC,1209 Orange Street,Wilmington,DE,19801,327213,24-09-2003,Sole Proprietor,Deposits Market Rate Savings;Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
28,SB_WF,NUCOR CORP,1915 Rexford Rd,Charlotte,NC,28211,331110,20-12-2015,Corp S,Business Platinum Credit Card;Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
29,SB_WF,THE RENCO GROUP INC,"1 Rockefeller Plaza, 29th Fl.",New York,NY,10112,331410,19-07-2004,Sole Proprietor,Deposits Navigate Business Checking;Deposits Initiate Business Checking;Deposits Initiate Business Checking,|
30,SB_WF,WASTE MANAGEMENT INC,"1001 Fannin, Suite 4000",Houston,TX,77002,562212,31-05-2011,LLC,Deposits Market Rate Savings;Deposits Initiate Business Checking,|
31,SB_WF,KRATON CORP,"15710 John F. Kennedy Blvd., Suite 300",Houston,TX,77032,325212,23-11-2016,Sole Proprietor,Deposits Navigate Business Checking;Deposits Market Rate Savings;Deposits Initiate Business Checking,|
32,SB_WF,ARCHER DANIELS MIDLAND CO,4666 Faries Parkway,Decatur,IL,62526,311224,19-07-2017,LLC,Deposits Optimize Business CheckingDeposits Business Platinum Savings,|
33,SB_WF,THE ANDERSONS INC,PO Box 119,Maumee,OH,43537,325193,11-10-2018,Partnership,Deposits Initiate Business Checking,|
34,SB_WF,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,325193,31-07-2004,Sole Proprietor,Deposits Navigate Business Checking;Deposits Navigate Business Checking;Deposits Initiate Business Checking,|
