EdgeID,label,FromNodeId,ToNodeId,grossTx,grossTxFreq
1,Fav,1464,5862,900,<100 / year
2,Fav,856,4732,5000,< 5/year
3,Fav,1705,7343,2000,< 3 / year
4,Fav,1782,6045,1000,<100 / year
5,Fav,8314,4724,600,< 50 / year
6,Fav,6169,1839,2000,< 5/year
7,Fav,8884,4262,200,< 5/year
8,Fav,6445,1369,20000,< 5/year
9,Fav,7624,2353,400,< 5/year
10,Fav,1527,3976,100,<200/year
11,Fav,2828,4804,50000,< 3 / year
12,Fav,313,456,600,< 1 / year
13,Fav,1288,6506,600,<400/year
14,Fav,6926,3394,800,<200/year
15,Fav,3614,1453,100,< 1 / year
16,Fav,5506,4513,2000,< 1 / year
17,Fav,2927,4340,100,< 3 / year
18,Fav,3025,8710,2000,<400/year
19,Fav,1726,8273,400,< 3 / year
20,Fav,6722,2665,800,> 400 / year
21,Fav,3506,4101,600,<100 / year
22,Fav,586,6848,50000,< 5/year
23,Fav,5411,277,10000,< 1 / year
24,Fav,787,3683,500,< 15/year
25,Fav,4991,6022,100,< 3 / year
26,Fav,1768,4157,1000,< 25 / year
27,Fav,4088,3577,10000,<400/year
28,Fav,2869,416,600,< 1 / year
29,Fav,7624,4887,20000,<200/year
30,Fav,3548,6330,700,< 3 / year
31,Fav,2875,1990,500,< 3 / year
32,Fav,5911,6121,10000,< 15/year
33,Fav,5570,7521,0,< 5/year
34,Fav,8035,2102,900,< 1 / year
35,Fav,1491,5135,50000,< 5/year
36,Fav,1670,7227,100,<200/year
37,Fav,1571,8042,20000,< 1 / year
38,Fav,4107,1191,50000,< 5/year
39,Fav,4204,1535,600,< 1 / year
40,Fav,2236,6875,500,< 5/year
41,Fav,6993,6092,5000,< 5/year
42,Fav,575,2210,700,< 15/year
43,Fav,6400,1360,800,< 15/year
44,Fav,795,2752,900,< 3 / year
45,Fav,4604,2219,600,< 5/year
46,Fav,4105,3043,600,> 400 / year
47,Fav,5665,4619,5000,< 15/year
48,Fav,6562,3555,10000,< 1 / year
49,Fav,1645,1894,800,< 5/year
50,Fav,3229,8352,2000,< 3 / year
51,Fav,2817,3410,100,< 5/year
52,Fav,6092,2571,400,< 25 / year
53,Fav,8235,4092,50000,<200/year
54,Fav,5061,8746,500,< 25 / year
55,Fav,5271,6554,50,> 400 / year
56,Fav,7085,5106,2000,<200/year
57,Fav,761,7205,600,< 1 / year
58,Fav,1466,3527,400,< 3 / year
59,Fav,4532,6876,50000,< 5/year
60,Fav,2056,3182,400,< 15/year
61,Fav,5788,7139,1000,<400/year
62,Fav,2600,5573,5000,< 5/year
63,Fav,2749,6798,2000,< 25 / year
64,Fav,5139,8091,800,< 15/year
65,Fav,4625,3380,50,< 5/year
66,Fav,6367,1455,2000,< 1 / year
67,Fav,4960,3870,5000,< 5/year
68,Fav,2136,7641,100,< 25 / year
69,Fav,639,5323,400,< 1 / year
70,Fav,1056,6857,1000,< 1 / year
71,Fav,7610,6546,0,< 3 / year
72,Fav,2784,6530,5000,< 3 / year
73,Fav,6834,3338,200,< 50 / year
74,Fav,7576,918,2000,< 1 / year
75,Fav,7269,7865,600,< 1 / year
76,Fav,3991,1587,600,< 3 / year
77,Fav,5733,2153,500,< 1 / year
78,Fav,2744,2989,700,< 25 / year
79,Fav,4600,4380,700,< 5/year
80,Fav,8724,6324,1000,< 3 / year
81,Fav,40,7438,100,< 3 / year
82,Fav,2059,2916,10000,< 1 / year
83,Fav,357,6666,10000,< 3 / year
84,Fav,4176,7652,600,< 1 / year
85,Fav,3815,1920,50,< 25 / year
86,Fav,1424,6064,600,< 3 / year
87,Fav,284,5739,300,< 5/year
88,Fav,6235,7499,600,< 3 / year
89,Fav,4058,2719,300,< 3 / year
90,Fav,734,5049,2000,< 5/year
91,Fav,4557,7527,50,< 3 / year
92,Fav,7247,8128,10000,< 5/year
93,Fav,378,7637,700,< 5/year
94,Fav,3976,8962,10000,< 3 / year
95,Fav,7202,3776,2000,> 400 / year
96,Fav,7420,1589,200,< 15/year
97,Fav,2522,245,700,< 3 / year
98,Fav,8091,6431,50,< 25 / year
99,Fav,2656,7886,50000,< 15/year
100,Fav,1765,1066,700,< 1 / year
101,Fav,1668,1670,700,< 50 / year
102,Fav,8814,6514,200,< 3 / year
103,Fav,7337,1906,20000,< 5/year
104,Fav,5330,8040,900,<200/year
105,Fav,825,3507,20000,< 5/year
106,Fav,4176,5742,200,< 5/year
107,Fav,2922,196,0,<200/year
108,Fav,6522,2833,600,< 3 / year
109,Fav,6459,1725,600,<400/year
110,Fav,7163,4552,100,< 1 / year
111,Fav,8751,2735,500,< 25 / year
112,Fav,8810,5553,50,< 5/year
